NUMBER,DEF,TRANSPORT,TYPE,HAZARDOUS
1,Aggregates Carrier,DRY BULK,CARRIER,YES
2,Anchor Handling Vessel,SUPPORTING VESSELS,OTHER,NO
3,Asphalt/Bitumen Tanker,WET BULK,TANKER,YES
4,Bulk Carrier,DRY BULK,CARRIER,NO
5,Bunkering Tanker,WET BULK,TANKER,YES
6,Cable Layer,OTHER MARKETS,OTHER,NO
7,Cargo,DRY BREAKBULK,CARGO,NO
8,Cement Carrier,DRY BULK,CARRIER,NO
9,Chemical Tanker,WET BULK,TANKER,YES
10,Container Ship,CONTAINER SHIPS,CONTAINER,NO
11,Crew Boat,SUPPORTING VESSELS,PASSENGER,NO
12,Crude Oil Tanker,WET BULK,TANKER,YES
13,Dredger,OTHER MARKETS,OTHER,NO
14,Drill Ship,OFFSHORE/RIGS,OTHER,NO
15,Fire Fighting Vessel,SUPPORTING VESSELS,OTHER,NO
16,Fish Carrier,FISHING,CARRIER,NO
17,Fishing,FISHING,FISHING,NO
18,Fishing Vessel,FISHING,FISHING,NO
19,Floating Crane,OTHER MARKETS,OTHER,NO
20,Floating Storage/Production,OTHER MARKETS,OTHER,NO
21,General Cargo,DRY BREAKBULK,CARGO,NO
22,Heavy Load Carrier,DRY BREAKBULK,CARRIER,NO
23,High Speed Craft,PASSENGER SHIPS,PASSENGER,NO
24,Icebreaker,SUPPORTING VESSELS,OTHER,NO
25,Inland Passengers Ship,PASSENGER SHIPS,PASSENGER,NO
26,Landing Craft,PASSENGER SHIPS,PLEASURE,NO
27,Livestock Carrier,OTHER MARKETS,CARRIER,NO
28,LNG Tanker,LNG CARRIERS,TANKER,NO
29,LPG Tanker,LPG CARRIERS,TANKER,NO
30,Military Ops,OTHER MARKETS,OTHER,NO
31,Navigation Aids,NULL,OTHER,NO
32,Obo Carrier,DRY BULK,OTHER,NO
33,Offshore Structure,OFFSHORE/RIGS,OTHER,NO
34,Offshore Vessel,SUPPORTING VESSELS,OTHER,NO
35,Oil Products Tanker,WET BULK,TANKER,NO
36,Oil/Chemical Tanker,WET BULK,TANKER,YES
37,Ore Carrier,DRY BULK,CARRIER,NO
38,Special Craft,OTHER MARKETS,PASSENGER,NO
39,Special Cargo,DRY BREAKBULK,CARGO,YES
40,Special Fishing Vessel,FISHING,FISHING,NO
41,Special Passenger Vessel,PASSENGER SHIPS,PASSENGER,NO
42,Special Pleasure Craft,PLEASURE CRAFT,PLEASURE,NO
43,Special Tanker,WET BULK,TANKER,NO
44,Passenger,PASSENGER SHIPS,PASSENGER,NO
45,Passenger/Cargo Ship,PASSENGER SHIPS,PASSENGER,NO
46,Passenger Vessel,PASSENGER SHIPS,PASSENGER,NO
47,Patrol Vessel,SUPPORTING VESSELS,OTHER,NO
48,Pilot Boat,SUPPORTING VESSELS,OTHER,NO
49,Platform,OFFSHORE/RIGS,OTHER,NO
50,Pollution Control Vessel,SUPPORTING VESSELS,OTHER,NO
51,Pusher Tug,SUPPORTING VESSELS,OTHER,NO
52,Reefer,DRY BREAKBULK,OTHER,NO
53,Research/Survey Vessel,OTHER MARKETS,OTHER,NO
54,Ro-Ro/Passenger Vessel,PASSENGER SHIPS,PASSENGER,NO
55,Ro-Ro/Vehicles Carrier,RO/RO,PASSENGER,NO
56,Sailing Vessel,PLEASURE CRAFT,PLEASURE,NO
57,Search & Rescue,SUPPORTING VESSELS,OTHER,NO
58,Service Vessel,SUPPORTING VESSELS,OTHER,NO
59,Special Tug,SUPPORTING VESSELS,OTHER,NO
60,Supply Vessel,SUPPORTING VESSELS,OTHER,NO
61,Tanker,WET BULK,TANKER,YES
62,Training Ship,OTHER MARKETS,PASSENGER,NO
63,Trawler,FISHING,FISHING,NO
64,Tug,SUPPORTING VESSELS,OTHER,NO
65,Tug/Supply Vessel,SUPPORTING VESSELS,OTHER,NO
66,Water Tanker,WET BULK,TANKER,NO
67,Yacht,PLEASURE CRAFT,PLEASURE,NO
68,Barge,OTHER MARKETS,OTHER,NO
69,Inland Tanker,WET BULK,TANKER,YES
70,Inland Cargo,DRY BREAKBULK,OTHER,NO
71,Inland Tug,SUPPORTING VESSELS,OTHER,NO
900,Unspecified,OTHER MARKETS,OTHER,NO
901,Navigation Aids,NULL,OTHER,NO
902,Other Fishing,FISHING,FISHING,NO
903,Other Special Craft,OTHER MARKETS,OTHER,NO
904,High Speed Craft,PASSENGER SHIPS,PASSENGER,NO
906,Other Passenger,PASSENGER SHIPS,PASSENGER,NO
907,Other Cargo,DRY BREAKBULK,CARGO,NO
908,Other Tanker,WET BULK,TANKER,YES
909,Other Pleasure Craft,PLEASURE CRAFT,PLEASURE,NO
